id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento
1,José Chávez Pérez,jose.chavez.perez1@gmail.com,Hombre,2011-11-24,SanMiguel,nan
5,Fernanda Chávez Rojas,fernanda.chavez.rojas5@seguro.sv,nan,1945-08-02,San Salvador,Pyme
6,Ricardo López Vásquez,ricardo.lopez.vasquez6@seguro.sv,Hombre,1966-10-15,sonsonate,PYME
13,Carlos Santos Morales,carlos.santos.morales6@correo.com,M,1975-08-02,Santa Ana,Regular
17,Diego García Flores,diego.garcia.flores3@seguro.sv,Mujer,1980-06-10,L. Libertad,VIP
19,Ana Mendoza Ramírez,ana.mendoza.ramirez5@seguro.sv,nan,1947-09-06,SantaAna,PYME
20,Paula López García,paula.lopez.garcia6@correo.com,Female,1966-05-25,SanMiguel,nan
28,Paula Castillo Santos,paula.castillo.santos0@gmail.com,F,1978-06-21,San salvador,PREMIUM
33,Ricardo Chávez García,ricardo.chavez.garcia5@seguro.sv,femenino,1993-08-26,San Miguel,vip
46,Daniela Santos Reyes,daniela.santos.reyes4@seguro.sv,M,1949-01-01,La Libertad,Premium
47,Andrés Pérez García,andres.perez.garcia5@example.com,femenino,1982-02-13,La Libertad,REGULAR
50,Marta Martínez Castillo,marta.martinez.castillo1@correo.com,Masculino,1972-02-28,La Libertad,Premium
55,Ana Santos Martínez,ana.santos.martinez6@example.com,Masculino,1994-05-27,san miguel,PREMIUM
67,Marta Pérez Torres,marta.perez.torres4@correo.com,Fem,1940-04-02,san miguel,vip
70,José Chávez Mendoza,jose.chavez.mendoza0@mail.com,m,1959-11-16,SanMiguel,VIP
73,Carlos Chávez Mendoza,carlos.chavez.mendoza3@mail.com,m,1994-04-25,SantaAna,PYME
78,Fernanda Vásquez Hernández,fernanda.vasquez.hernandez1@correo.com,nan,2008-06-01,Sonsonate,nan
80,Jorge Morales García,jorge.morales.garcia3@mail.com,M,1952-09-22,SantaAna,Pyme
81,Paula Reyes Gómez,paula.reyes.gomez4@example.com,Mujer,1973-03-13,San Salvador,Premium
94,Pedro Castillo García,pedro.castillo.garcia3@mail.com,Mujer,1997-11-01,Sonsonate,PYME
