id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,motivo_rechazo
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,nan,,Sta. Ana,nan,fecha_nacimiento_vacio
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Masculino,,S. Miguel,nan,fecha_nacimiento_vacio
4,María Pérez Pérez,maria.perez.perez4@correo.com,Masculino,,LaLibertad,REGULAR,fecha_nacimiento_vacio
7,Diego Flores Rojas,diego.flores.rojas0@example.com,m,,SantaAna,Premium,fecha_nacimiento_vacio
8,Karla Ortiz López,karla.ortiz.lopez1@mail.com,M,,SantaAna,Premium,fecha_nacimiento_vacio
9,Juan Flores Morales,juan.flores.morales2@example.com,femenino,,SanMiguel,Regular,fecha_nacimiento_vacio
10,María Aguilar López,maria.aguilar.lopez3@example.com,Masculino,,San Salvador,PREMIUM,fecha_nacimiento_vacio
11,Sofía López Torres,sofia.lopez.torres4@seguro.sv,m,,sonsonate,PYME,fecha_nacimiento_vacio
12,Valeria Vásquez Gómez,valeria.vasquez.gomez5@mail.com,Fem,,San Salvador,VIP,fecha_nacimiento_vacio
14,Karla Hernández Santos,karla.hernandez.santos0@gmail.com,nan,,San Salvador,REGULAR,fecha_nacimiento_vacio
15,Ana Rojas Aguilar,ana.rojas.aguilar1@example.com,m,,SantaAna,Premium,fecha_nacimiento_vacio
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,nan,,Sonso,REGULAR,fecha_nacimiento_vacio
18,Ricardo Reyes Gómez,ricardo.reyes.gomez4@example.com,femenino,,Sonso,nan,fecha_nacimiento_vacio
21,Daniela Vásquez Rojas,daniela.vasquez.rojas0@example.com,nan,,S. Miguel,PREMIUM,fecha_nacimiento_vacio
22,José Ramírez Reyes,jose.ramirez.reyes1@correo.com,Masculino,,L. Libertad,nan,fecha_nacimiento_vacio
23,Daniela Torres Castillo,daniela.torres.castillo2@example.com,Masculino,,Sta. Ana,VIP,fecha_nacimiento_vacio
24,Fernanda Pérez Flores,fernanda.perez.flores3@gmail.com,Female,,La Libertad,VIP,fecha_nacimiento_vacio
25,Jorge Castillo Aguilar,jorge.castillo.aguilar4@correo.com,F,,La Libertad,vip,fecha_nacimiento_vacio
26,Lucía Aguilar García,lucia.aguilar.garcia5@mail.com,Fem,,Sonso,vip,fecha_nacimiento_vacio
27,Diego Hernández Ortiz,diego.hernandez.ortiz6@gmail.com,Mujer,,Sonsonate,PYME,fecha_nacimiento_vacio
29,Valeria García Gómez,valeria.garcia.gomez1@mail.com,Fem,,LaLibertad,nan,fecha_nacimiento_vacio
30,Ricardo Castillo Martínez,ricardo.castillo.martinez2@example.com,nan,,Sta. Ana,nan,fecha_nacimiento_vacio
31,Sofía Rojas Hernández,sofia.rojas.hernandez3@correo.com,Female,,San Salvador,Premium,fecha_nacimiento_vacio
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Female,,San Miguel,nan,fecha_nacimiento_vacio
34,Diego Santos Santos,diego.santos.santos6@example.com,Mujer,,SantaAna,nan,fecha_nacimiento_vacio
35,Paula Flores Gómez,paula.flores.gomez0@seguro.sv,M,,SanMiguel,REGULAR,fecha_nacimiento_vacio
36,Marta Hernández Gómez,marta.hernandez.gomez1@seguro.sv,Female,,Sonsonate,PYME,fecha_nacimiento_vacio
37,María Reyes Flores,maria.reyes.flores2@seguro.sv,Hombre,,Sonsonate,Pyme,fecha_nacimiento_vacio
38,Juan Ramírez Mendoza,juan.ramirez.mendoza3@seguro.sv,m,,San salvador,Regular,fecha_nacimiento_vacio
39,Fernanda Pérez Castillo,fernanda.perez.castillo4@seguro.sv,M,,sonsonate,Premium,fecha_nacimiento_vacio
40,Carlos Ortiz López,carlos.ortiz.lopez5@correo.com,M,,San salvador,PYME,fecha_nacimiento_vacio
41,Carlos Mendoza Flores,carlos.mendoza.flores6@seguro.sv,Masculino,,sonsonate,Pyme,fecha_nacimiento_vacio
42,Sofía Torres Mendoza,sofia.torres.mendoza0@mail.com,Female,,San Miguel,Regular,fecha_nacimiento_vacio
43,Ana Castillo Castillo,ana.castillo.castillo1@seguro.sv,Fem,,Sonsonate,REGULAR,fecha_nacimiento_vacio
44,Marta Ortiz Ortiz,marta.ortiz.ortiz2@example.com,Masculino,,Sonsonate,PREMIUM,fecha_nacimiento_vacio
45,Andrés Martínez Reyes,andres.martinez.reyes3@seguro.sv,nan,,La Libertad,Premium,fecha_nacimiento_vacio
48,Fernanda Morales Reyes,fernanda.morales.reyes6@seguro.sv,Hombre,,Sonsonate,PREMIUM,fecha_nacimiento_vacio
49,Carlos Cruz García,carlos.cruz.garcia0@mail.com,nan,,San Miguel,VIP,fecha_nacimiento_vacio
51,Carmen Gómez García,carmen.gomez.garcia2@gmail.com,m,,La Libertad,Premium,fecha_nacimiento_vacio
52,Diego Chávez Flores,diego.chavez.flores3@mail.com,nan,,sonsonate,vip,fecha_nacimiento_vacio
53,Paula Vásquez Santos,paula.vasquez.santos4@seguro.sv,Female,,san miguel,Pyme,fecha_nacimiento_vacio
54,Ricardo Hernández Cruz,ricardo.hernandez.cruz5@gmail.com,Female,,SanSalvador,Regular,fecha_nacimiento_vacio
56,Karla Flores Pérez,karla.flores.perez0@mail.com,Female,,San Salvador,REGULAR,fecha_nacimiento_vacio
57,Luis García Castillo,luis.garcia.castillo1@correo.com,Masculino,,Sonso,nan,fecha_nacimiento_vacio
58,Daniela Flores Gómez,daniela.flores.gomez2@seguro.sv,Female,,SanSalvador,vip,fecha_nacimiento_vacio
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,nan,,San Miguel,vip,fecha_nacimiento_vacio
